Employee_ID,Name,Department,Designation,Month,Monthly_Sales,Monthly_Customer_Feedback_Score
4,Julia Schneider,Sales,Sales Executive,March,5442,8.1
4,Julia Schneider,Sales,Sales Executive,April,5853,9.2
4,Julia Schneider,Sales,Sales Executive,May,5102,9.5
4,Julia Schneider,Sales,Sales Executive,June,5182,9.4
4,Julia Schneider,Sales,Sales Executive,July,4274,8.1
4,Julia Schneider,Sales,Sales Executive,August,4788,8.4
4,Julia Schneider,Sales,Sales Executive,September,5671,8.6
4,Julia Schneider,Sales,Sales Executive,October,4797,9.5
4,Julia Schneider,Sales,Sales Executive,November,4745,9.1
4,Julia Schneider,Sales,Sales Executive,December,4765,9.3
5,Sarah Frei,Sales,Sales Executive,January,5766,8.7
5,Sarah Frei,Sales,Sales Executive,February,3644,8.5
5,Sarah Frei,Sales,Sales Executive,March,5501,9.0
5,Sarah Frei,Sales,Sales Executive,April,5240,9.6
5,Sarah Frei,Sales,Sales Executive,May,5183,7.2
5,Sarah Frei,Sales,Sales Executive,June,4914,9.1
5,Sarah Frei,Sales,Sales Executive,July,5461,9.8
5,Sarah Frei,Sales,Sales Executive,August,6025,8.9
5,Sarah Frei,Sales,Sales Executive,September,4948,8.4
5,Sarah Frei,Sales,Sales Executive,October,6183,8.7
5,Sarah Frei,Sales,Sales Executive,November,4133,8.6
5,Sarah Frei,Sales,Sales Executive,December,5228,9.3
6,Julia Kuhn,Sales,Sales Representative,January,4472,8.8
6,Julia Kuhn,Sales,Sales Representative,February,4140,9.1
6,Julia Kuhn,Sales,Sales Representative,March,5018,8.7
6,Julia Kuhn,Sales,Sales Representative,April,4131,7.5
6,Julia Kuhn,Sales,Sales Representative,May,4399,8.2
6,Julia Kuhn,Sales,Sales Representative,June,4174,8.6
6,Julia Kuhn,Sales,Sales Representative,July,4328,8.7
6,Julia Kuhn,Sales,Sales Representative,August,4366,8.3
6,Julia Kuhn,Sales,Sales Representative,September,4584,8.3
6,Julia Kuhn,Sales,Sales Representative,October,4165,7.7
6,Julia Kuhn,Sales,Sales Representative,November,4258,7.9
6,Julia Kuhn,Sales,Sales Representative,December,4384,7.6
7,Emma Herrmann,Sales,Sales Trainee,January,2980,7.0
7,Emma Herrmann,Sales,Sales Trainee,February,2923,7.0
7,Emma Herrmann,Sales,Sales Trainee,March,3156,7.9
7,Emma Herrmann,Sales,Sales Trainee,April,3036,7.2
7,Emma Herrmann,Sales,Sales Trainee,May,3253,7.2
7,Emma Herrmann,Sales,Sales Trainee,June,2805,7.5
7,Emma Herrmann,Sales,Sales Trainee,July,3264,6.6
7,Emma Herrmann,Sales,Sales Trainee,August,2823,7.1
7,Emma Herrmann,Sales,Sales Trainee,September,3254,6.9
7,Emma Herrmann,Sales,Sales Trainee,October,2751,7.4
7,Emma Herrmann,Sales,Sales Trainee,November,3034,6.5
7,Emma Herrmann,Sales,Sales Trainee,December,2706,7.4
8,Lea Brunner,Sales,Field Sales Specialist,January,3904,8.3
8,Lea Brunner,Sales,Field Sales Specialist,February,3892,7.5
8,Lea Brunner,Sales,Field Sales Specialist,March,4100,7.9
8,Lea Brunner,Sales,Field Sales Specialist,April,4425,8.7
8,Lea Brunner,Sales,Field Sales Specialist,May,4253,7.4
8,Lea Brunner,Sales,Field Sales Specialist,June,3469,7.1
8,Lea Brunner,Sales,Field Sales Specialist,July,4256,7.8
8,Lea Brunner,Sales,Field Sales Specialist,August,3778,7.5
8,Lea Brunner,Sales,Field Sales Specialist,September,4345,8.0
8,Lea Brunner,Sales,Field Sales Specialist,October,4195,8.3
8,Lea Brunner,Sales,Field Sales Specialist,November,4626,8.3
8,Lea Brunner,Sales,Field Sales Specialist,December,4290,8.9
9,Sarah Baumann,Sales,Field Sales Specialist,January,3896,8.1
9,Sarah Baumann,Sales,Field Sales Specialist,February,3647,8.1
9,Sarah Baumann,Sales,Field Sales Specialist,March,4347,7.7
9,Sarah Baumann,Sales,Field Sales Specialist,April,3884,8.5
9,Sarah Baumann,Sales,Field Sales Specialist,May,3802,9.2
9,Sarah Baumann,Sales,Field Sales Specialist,June,3763,8.2
9,Sarah Baumann,Sales,Field Sales Specialist,July,4183,7.9
9,Sarah Baumann,Sales,Field Sales Specialist,August,3417,8.6
9,Sarah Baumann,Sales,Field Sales Specialist,September,4713,7.9
9,Sarah Baumann,Sales,Field Sales Specialist,October,3392,9.1
9,Sarah Baumann,Sales,Field Sales Specialist,November,4084,9.4
9,Sarah Baumann,Sales,Field Sales Specialist,December,3836,8.2
10,Lea Huber,Sales,Sales Executive,January,4780,9.1
10,Lea Huber,Sales,Sales Executive,February,4427,9.3
10,Lea Huber,Sales,Sales Executive,March,4925,9.3
10,Lea Huber,Sales,Sales Executive,April,5152,7.9
10,Lea Huber,Sales,Sales Executive,May,4355,8.0
10,Lea Huber,Sales,Sales Executive,June,4707,9.4
10,Lea Huber,Sales,Sales Executive,July,5453,9.0
10,Lea Huber,Sales,Sales Executive,August,4990,9.2
10,Lea Huber,Sales,Sales Executive,September,6100,9.6
10,Lea Huber,Sales,Sales Executive,October,5497,8.0
10,Lea Huber,Sales,Sales Executive,November,5118,8.0
10,Lea Huber,Sales,Sales Executive,December,5645,8.3
11,Matteo Baumann,Sales,Sales Representative,January,5069,8.1
11,Matteo Baumann,Sales,Sales Representative,February,4230,7.7
11,Matteo Baumann,Sales,Sales Representative,March,4115,9.3
11,Matteo Baumann,Sales,Sales Representative,April,4029,8.3
11,Matteo Baumann,Sales,Sales Representative,May,4713,7.2
11,Matteo Baumann,Sales,Sales Representative,June,4416,7.8
11,Matteo Baumann,Sales,Sales Representative,July,4138,9.2
11,Matteo Baumann,Sales,Sales Representative,August,4038,9.2
11,Matteo Baumann,Sales,Sales Representative,September,4942,7.5
11,Matteo Baumann,Sales,Sales Representative,October,4636,6.8
11,Matteo Baumann,Sales,Sales Representative,November,4145,7.7
11,Matteo Baumann,Sales,Sales Representative,December,4240,9.2
12,Sofia Frei,Sales,Sales Trainee,January,3018,7.8
12,Sofia Frei,Sales,Sales Trainee,February,2940,7.7
12,Sofia Frei,Sales,Sales Trainee,March,2967,7.2
12,Sofia Frei,Sales,Sales Trainee,April,2951,6.8
12,Sofia Frei,Sales,Sales Trainee,May,3060,6.1
12,Sofia Frei,Sales,Sales Trainee,June,3286,7.0
12,Sofia Frei,Sales,Sales Trainee,July,3523,7.1
12,Sofia Frei,Sales,Sales Trainee,August,3030,8.1
12,Sofia Frei,Sales,Sales Trainee,September,2741,8.0
12,Sofia Frei,Sales,Sales Trainee,October,3069,7.3
12,Sofia Frei,Sales,Sales Trainee,November,2938,8.0
12,Sofia Frei,Sales,Sales Trainee,December,2459,7.4
13,Noah Fuchs,Sales,Sales Representative,January,4867,8.7
13,Noah Fuchs,Sales,Sales Representative,February,4540,7.8
13,Noah Fuchs,Sales,Sales Representative,March,4216,8.7
13,Noah Fuchs,Sales,Sales Representative,April,4975,8.5
13,Noah Fuchs,Sales,Sales Representative,May,4275,7.2
13,Noah Fuchs,Sales,Sales Representative,June,5245,8.5
13,Noah Fuchs,Sales,Sales Representative,July,3856,8.1
13,Noah Fuchs,Sales,Sales Representative,August,4389,8.9
13,Noah Fuchs,Sales,Sales Representative,September,4645,7.6
13,Noah Fuchs,Sales,Sales Representative,October,4168,8.0
13,Noah Fuchs,Sales,Sales Representative,November,4835,8.4
13,Noah Fuchs,Sales,Sales Representative,December,4110,8.8
14,Luca Weber,Sales,Sales Representative,January,4704,8.4
14,Luca Weber,Sales,Sales Representative,February,4052,7.9
14,Luca Weber,Sales,Sales Representative,March,3451,8.2
14,Luca Weber,Sales,Sales Representative,April,5348,8.0
14,Luca Weber,Sales,Sales Representative,May,4051,8.5
14,Luca Weber,Sales,Sales Representative,June,4189,9.2
14,Luca Weber,Sales,Sales Representative,July,4282,8.5
14,Luca Weber,Sales,Sales Representative,August,4075,7.9
14,Luca Weber,Sales,Sales Representative,September,4122,6.9
14,Luca Weber,Sales,Sales Representative,October,4882,8.1
14,Luca Weber,Sales,Sales Representative,November,4655,7.8
14,Luca Weber,Sales,Sales Representative,December,5108,7.9
15,Anna Huber,Sales,Sales Manager,January,6137,7.1
15,Anna Huber,Sales,Sales Manager,February,7593,8.6
15,Anna Huber,Sales,Sales Manager,March,7308,9.2
15,Anna Huber,Sales,Sales Manager,April,6515,9.1
15,Anna Huber,Sales,Sales Manager,May,7068,8.5
15,Anna Huber,Sales,Sales Manager,June,8144,9.3
15,Anna Huber,Sales,Sales Manager,July,7153,8.0
15,Anna Huber,Sales,Sales Manager,August,6330,7.9
15,Anna Huber,Sales,Sales Manager,September,6610,8.3
15,Anna Huber,Sales,Sales Manager,October,7791,9.2
15,Anna Huber,Sales,Sales Manager,November,7100,9.2
15,Anna Huber,Sales,Sales Manager,December,7208,9.4
16,Emma Meyer,Sales,Sales Manager,January,7232,9.0
16,Emma Meyer,Sales,Sales Manager,February,7130,8.3
16,Emma Meyer,Sales,Sales Manager,March,6489,8.7
16,Emma Meyer,Sales,Sales Manager,April,6822,8.5
16,Emma Meyer,Sales,Sales Manager,May,6390,7.8
16,Emma Meyer,Sales,Sales Manager,June,6685,9.2
16,Emma Meyer,Sales,Sales Manager,July,6875,9.6
16,Emma Meyer,Sales,Sales Manager,August,7645,8.8
16,Emma Meyer,Sales,Sales Manager,September,7607,7.7
16,Emma Meyer,Sales,Sales Manager,October,6421,8.2
16,Emma Meyer,Sales,Sales Manager,November,7014,7.5
16,Emma Meyer,Sales,Sales Manager,December,6491,8.3
17,David Schwab,Sales,Sales Trainee,January,2669,6.8
17,David Schwab,Sales,Sales Trainee,February,3101,6.8
17,David Schwab,Sales,Sales Trainee,March,3210,8.4
17,David Schwab,Sales,Sales Trainee,April,3522,8.5
17,David Schwab,Sales,Sales Trainee,May,3158,6.6
17,David Schwab,Sales,Sales Trainee,June,3091,6.7
17,David Schwab,Sales,Sales Trainee,July,2708,6.6
17,David Schwab,Sales,Sales Trainee,August,3233,6.3
17,David Schwab,Sales,Sales Trainee,September,3354,6.6
17,David Schwab,Sales,Sales Trainee,October,2898,8.3
17,David Schwab,Sales,Sales Trainee,November,2722,7.5
17,David Schwab,Sales,Sales Trainee,December,2849,8.7
18,Lea Frei,Sales,Sales Manager,January,5838,8.9
18,Lea Frei,Sales,Sales Manager,February,6807,7.9
18,Lea Frei,Sales,Sales Manager,March,7927,7.2
18,Lea Frei,Sales,Sales Manager,April,7125,7.8
18,Lea Frei,Sales,Sales Manager,May,7373,8.4
18,Lea Frei,Sales,Sales Manager,June,7710,8.6
18,Lea Frei,Sales,Sales Manager,July,7447,9.3
18,Lea Frei,Sales,Sales Manager,August,6502,8.9
18,Lea Frei,Sales,Sales Manager,September,5716,9.5
18,Lea Frei,Sales,Sales Manager,October,6986,8.2
18,Lea Frei,Sales,Sales Manager,November,7747,7.8
18,Lea Frei,Sales,Sales Manager,December,6498,8.2
19,Elias Fuchs,Sales,Sales Manager,January,7940,7.9
19,Elias Fuchs,Sales,Sales Manager,February,7861,7.5
19,Elias Fuchs,Sales,Sales Manager,March,6893,9.0
19,Elias Fuchs,Sales,Sales Manager,April,8650,9.3
19,Elias Fuchs,Sales,Sales Manager,May,7214,8.1
19,Elias Fuchs,Sales,Sales Manager,June,5913,8.8
19,Elias Fuchs,Sales,Sales Manager,July,7888,8.4
19,Elias Fuchs,Sales,Sales Manager,August,7591,7.5
19,Elias Fuchs,Sales,Sales Manager,September,7296,9.7
19,Elias Fuchs,Sales,Sales Manager,October,6902,8.9
19,Elias Fuchs,Sales,Sales Manager,November,7020,8.4
19,Elias Fuchs,Sales,Sales Manager,December,6986,8.6
20,David Fuchs,Sales,Field Sales Specialist,January,4248,8.4
20,David Fuchs,Sales,Field Sales Specialist,February,4391,8.3
20,David Fuchs,Sales,Field Sales Specialist,March,4166,9.3
20,David Fuchs,Sales,Field Sales Specialist,April,4117,7.7
20,David Fuchs,Sales,Field Sales Specialist,May,3672,8.9
20,David Fuchs,Sales,Field Sales Specialist,June,4399,8.0
20,David Fuchs,Sales,Field Sales Specialist,July,3568,9.4
20,David Fuchs,Sales,Field Sales Specialist,August,4078,8.6
20,David Fuchs,Sales,Field Sales Specialist,September,3528,9.2
20,David Fuchs,Sales,Field Sales Specialist,October,3507,8.2
20,David Fuchs,Sales,Field Sales Specialist,November,4372,9.1
20,David Fuchs,Sales,Field Sales Specialist,December,3683,7.4
21,Sofia Schwab,Sales,Field Sales Specialist,January,3747,7.9
21,Sofia Schwab,Sales,Field Sales Specialist,February,3895,8.5
21,Sofia Schwab,Sales,Field Sales Specialist,March,4090,6.9
21,Sofia Schwab,Sales,Field Sales Specialist,April,3657,7.7
21,Sofia Schwab,Sales,Field Sales Specialist,May,3531,9.1
21,Sofia Schwab,Sales,Field Sales Specialist,June,4545,7.1
21,Sofia Schwab,Sales,Field Sales Specialist,July,3875,8.7
21,Sofia Schwab,Sales,Field Sales Specialist,August,4200,8.6
21,Sofia Schwab,Sales,Field Sales Specialist,September,4185,8.5
21,Sofia Schwab,Sales,Field Sales Specialist,October,3538,7.7
21,Sofia Schwab,Sales,Field Sales Specialist,November,4058,8.2
21,Sofia Schwab,Sales,Field Sales Specialist,December,4357,8.1
22,David Müller,Sales,Sales Representative,January,4246,7.6
22,David Müller,Sales,Sales Representative,February,4522,7.8
22,David Müller,Sales,Sales Representative,March,4976,8.9
22,David Müller,Sales,Sales Representative,April,4850,9.1
22,David Müller,Sales,Sales Representative,May,4348,8.3
22,David Müller,Sales,Sales Representative,June,4171,7.8
22,David Müller,Sales,Sales Representative,July,3661,6.8
22,David Müller,Sales,Sales Representative,August,4846,7.0
22,David Müller,Sales,Sales Representative,September,4785,7.3
22,David Müller,Sales,Sales Representative,October,4563,7.5
22,David Müller,Sales,Sales Representative,November,4444,8.2
22,David Müller,Sales,Sales Representative,December,4470,8.1
23,Lena Brunner,Sales,Sales Representative,January,4071,7.0
23,Lena Brunner,Sales,Sales Representative,February,5079,8.5
23,Lena Brunner,Sales,Sales Representative,March,4426,7.5
23,Lena Brunner,Sales,Sales Representative,April,3609,8.7
23,Lena Brunner,Sales,Sales Representative,May,4029,8.6
23,Lena Brunner,Sales,Sales Representative,June,5030,7.9
23,Lena Brunner,Sales,Sales Representative,July,4311,7.6
23,Lena Brunner,Sales,Sales Representative,August,3815,8.8
23,Lena Brunner,Sales,Sales Representative,September,4984,7.8
23,Lena Brunner,Sales,Sales Representative,October,4301,7.1
23,Lena Brunner,Sales,Sales Representative,November,4357,7.9
23,Lena Brunner,Sales,Sales Representative,December,4363,8.2
24,Julia Baumann,Sales,Field Sales Specialist,January,3682,8.8
24,Julia Baumann,Sales,Field Sales Specialist,February,4369,8.7
24,Julia Baumann,Sales,Field Sales Specialist,March,4526,8.8
24,Julia Baumann,Sales,Field Sales Specialist,April,4604,8.8
24,Julia Baumann,Sales,Field Sales Specialist,May,3812,8.6
24,Julia Baumann,Sales,Field Sales Specialist,June,3603,9.4
24,Julia Baumann,Sales,Field Sales Specialist,July,3750,6.7
24,Julia Baumann,Sales,Field Sales Specialist,August,4006,7.9
24,Julia Baumann,Sales,Field Sales Specialist,September,3612,8.7
24,Julia Baumann,Sales,Field Sales Specialist,October,4613,8.9
24,Julia Baumann,Sales,Field Sales Specialist,November,3824,6.9
24,Julia Baumann,Sales,Field Sales Specialist,December,4285,7.2
25,Samuel Weber,Sales,Sales Manager,January,8216,8.9
25,Samuel Weber,Sales,Sales Manager,February,6594,9.5
25,Samuel Weber,Sales,Sales Manager,March,8295,8.0
25,Samuel Weber,Sales,Sales Manager,April,7128,8.7
25,Samuel Weber,Sales,Sales Manager,May,6231,9.4
25,Samuel Weber,Sales,Sales Manager,June,7618,8.6
25,Samuel Weber,Sales,Sales Manager,July,7470,8.8
25,Samuel Weber,Sales,Sales Manager,August,6279,9.0
25,Samuel Weber,Sales,Sales Manager,September,7103,8.4
25,Samuel Weber,Sales,Sales Manager,October,5961,8.8
25,Samuel Weber,Sales,Sales Manager,November,7103,8.9
25,Samuel Weber,Sales,Sales Manager,December,8321,8.2
26,Matteo Frei,Sales,Sales Representative,January,4539,7.7
26,Matteo Frei,Sales,Sales Representative,February,4278,8.1
26,Matteo Frei,Sales,Sales Representative,March,4243,8.3
26,Matteo Frei,Sales,Sales Representative,April,4603,8.1
26,Matteo Frei,Sales,Sales Representative,May,4307,7.7
26,Matteo Frei,Sales,Sales Representative,June,5104,7.7
26,Matteo Frei,Sales,Sales Representative,July,4837,7.3
26,Matteo Frei,Sales,Sales Representative,August,4522,7.9
26,Matteo Frei,Sales,Sales Representative,September,4356,7.0
26,Matteo Frei,Sales,Sales Representative,October,4585,8.7
26,Matteo Frei,Sales,Sales Representative,November,4517,8.7
26,Matteo Frei,Sales,Sales Representative,December,4397,9.2
27,Mia Meier,Sales,Sales Executive,January,4633,9.5
27,Mia Meier,Sales,Sales Executive,February,4410,9.1
27,Mia Meier,Sales,Sales Executive,March,4911,8.9
27,Mia Meier,Sales,Sales Executive,April,5009,9.8
27,Mia Meier,Sales,Sales Executive,May,4913,8.9
27,Mia Meier,Sales,Sales Executive,June,5261,9.0
27,Mia Meier,Sales,Sales Executive,July,5437,8.9
27,Mia Meier,Sales,Sales Executive,August,4988,9.2
27,Mia Meier,Sales,Sales Executive,September,4509,9.4
27,Mia Meier,Sales,Sales Executive,October,4214,9.4
27,Mia Meier,Sales,Sales Executive,November,5154,8.3
27,Mia Meier,Sales,Sales Executive,December,4607,8.1
28,Alessia Müller,Sales,Field Sales Specialist,January,4454,7.3
28,Alessia Müller,Sales,Field Sales Specialist,February,3821,8.6
28,Alessia Müller,Sales,Field Sales Specialist,March,3549,8.2
28,Alessia Müller,Sales,Field Sales Specialist,April,3698,8.7
28,Alessia Müller,Sales,Field Sales Specialist,May,4158,9.2
28,Alessia Müller,Sales,Field Sales Specialist,June,4374,9.5
28,Alessia Müller,Sales,Field Sales Specialist,July,4223,9.1
28,Alessia Müller,Sales,Field Sales Specialist,August,4262,7.3
28,Alessia Müller,Sales,Field Sales Specialist,September,3842,8.9
28,Alessia Müller,Sales,Field Sales Specialist,October,3430,7.4
28,Alessia Müller,Sales,Field Sales Specialist,November,3672,8.5
28,Alessia Müller,Sales,Field Sales Specialist,December,3894,9.2
29,Gabriel Brunner,Sales,Sales Manager,January,6783,9.1
29,Gabriel Brunner,Sales,Sales Manager,February,7647,9.2
29,Gabriel Brunner,Sales,Sales Manager,March,8096,7.8
29,Gabriel Brunner,Sales,Sales Manager,April,6880,8.3
29,Gabriel Brunner,Sales,Sales Manager,May,8047,8.2
29,Gabriel Brunner,Sales,Sales Manager,June,8477,8.2
29,Gabriel Brunner,Sales,Sales Manager,July,7779,7.6
29,Gabriel Brunner,Sales,Sales Manager,August,7345,8.6
29,Gabriel Brunner,Sales,Sales Manager,September,7474,9.5
29,Gabriel Brunner,Sales,Sales Manager,October,7259,8.1
29,Gabriel Brunner,Sales,Sales Manager,November,6042,8.6
29,Gabriel Brunner,Sales,Sales Manager,December,7084,7.9
30,Laura Fischer,Sales,Sales Trainee,January,2755,7.6
30,Laura Fischer,Sales,Sales Trainee,February,3203,8.1
30,Laura Fischer,Sales,Sales Trainee,March,2716,7.6
30,Laura Fischer,Sales,Sales Trainee,April,2738,6.9
30,Laura Fischer,Sales,Sales Trainee,May,2514,8.1
30,Laura Fischer,Sales,Sales Trainee,June,2975,8.4
30,Laura Fischer,Sales,Sales Trainee,July,2709,7.0
30,Laura Fischer,Sales,Sales Trainee,August,3303,8.1
30,Laura Fischer,Sales,Sales Trainee,September,3335,6.5
30,Laura Fischer,Sales,Sales Trainee,October,3278,8.4
30,Laura Fischer,Sales,Sales Trainee,November,2704,7.5
30,Laura Fischer,Sales,Sales Trainee,December,2650,8.3
31,Lena Frei,Sales,Sales Trainee,January,3086,6.6
31,Lena Frei,Sales,Sales Trainee,February,2975,7.2
31,Lena Frei,Sales,Sales Trainee,March,2998,7.8
31,Lena Frei,Sales,Sales Trainee,April,3008,8.8
31,Lena Frei,Sales,Sales Trainee,May,3411,7.3
31,Lena Frei,Sales,Sales Trainee,June,2978,7.7
31,Lena Frei,Sales,Sales Trainee,July,2825,7.9
31,Lena Frei,Sales,Sales Trainee,August,2818,7.5
31,Lena Frei,Sales,Sales Trainee,September,2905,7.5
31,Lena Frei,Sales,Sales Trainee,October,2729,7.8
31,Lena Frei,Sales,Sales Trainee,November,2807,7.3
31,Lena Frei,Sales,Sales Trainee,December,3306,7.9
32,Luca Zimmermann,Sales,Sales Representative,January,4311,7.9
32,Luca Zimmermann,Sales,Sales Representative,February,5013,7.9
32,Luca Zimmermann,Sales,Sales Representative,March,4136,8.5
32,Luca Zimmermann,Sales,Sales Representative,April,4806,7.5
32,Luca Zimmermann,Sales,Sales Representative,May,3134,7.4
32,Luca Zimmermann,Sales,Sales Representative,June,5276,8.7
32,Luca Zimmermann,Sales,Sales Representative,July,4094,9.4
32,Luca Zimmermann,Sales,Sales Representative,August,5374,8.0
32,Luca Zimmermann,Sales,Sales Representative,September,4528,7.0
32,Luca Zimmermann,Sales,Sales Representative,October,4356,7.8
32,Luca Zimmermann,Sales,Sales Representative,November,4919,7.9
32,Luca Zimmermann,Sales,Sales Representative,December,4539,7.6
33,Matteo Baumann,Sales,Sales Representative,January,4277,7.6
33,Matteo Baumann,Sales,Sales Representative,February,4268,9.0
33,Matteo Baumann,Sales,Sales Representative,March,4150,8.1
33,Matteo Baumann,Sales,Sales Representative,April,4758,8.5
33,Matteo Baumann,Sales,Sales Representative,May,4852,7.5
33,Matteo Baumann,Sales,Sales Representative,June,4108,8.3
33,Matteo Baumann,Sales,Sales Representative,July,4331,7.1
33,Matteo Baumann,Sales,Sales Representative,August,4304,8.3
33,Matteo Baumann,Sales,Sales Representative,September,4260,6.9
33,Matteo Baumann,Sales,Sales Representative,October,4821,8.0
33,Matteo Baumann,Sales,Sales Representative,November,4883,7.9
33,Matteo Baumann,Sales,Sales Representative,December,4687,7.5
34,Luca Gerber,Sales,Sales Trainee,January,3148,8.1
34,Luca Gerber,Sales,Sales Trainee,February,2856,7.1
34,Luca Gerber,Sales,Sales Trainee,March,2996,8.3
34,Luca Gerber,Sales,Sales Trainee,April,2576,7.3
34,Luca Gerber,Sales,Sales Trainee,May,3660,6.2
34,Luca Gerber,Sales,Sales Trainee,June,3179,7.0
34,Luca Gerber,Sales,Sales Trainee,July,2657,7.0
34,Luca Gerber,Sales,Sales Trainee,August,2658,7.3
34,Luca Gerber,Sales,Sales Trainee,September,2974,6.4
34,Luca Gerber,Sales,Sales Trainee,October,3024,7.8
34,Luca Gerber,Sales,Sales Trainee,November,3137,8.7
34,Luca Gerber,Sales,Sales Trainee,December,3394,7.0
35,Noah Steiner,Sales,Sales Representative,January,4387,7.6
35,Noah Steiner,Sales,Sales Representative,February,4122,7.3
35,Noah Steiner,Sales,Sales Representative,March,4677,8.4
35,Noah Steiner,Sales,Sales Representative,April,4734,7.7
35,Noah Steiner,Sales,Sales Representative,May,4146,8.8
35,Noah Steiner,Sales,Sales Representative,June,4681,7.3
35,Noah Steiner,Sales,Sales Representative,July,4978,7.9
35,Noah Steiner,Sales,Sales Representative,August,4461,8.3
35,Noah Steiner,Sales,Sales Representative,September,4891,7.2
35,Noah Steiner,Sales,Sales Representative,October,5062,7.8
35,Noah Steiner,Sales,Sales Representative,November,4034,8.4
35,Noah Steiner,Sales,Sales Representative,December,4231,7.0
36,Gabriel Müller,Sales,Sales Manager,January,6364,8.5
36,Gabriel Müller,Sales,Sales Manager,February,6418,9.5
36,Gabriel Müller,Sales,Sales Manager,March,7604,8.1
36,Gabriel Müller,Sales,Sales Manager,April,6389,8.2
36,Gabriel Müller,Sales,Sales Manager,May,7117,7.4
36,Gabriel Müller,Sales,Sales Manager,June,5636,6.6
36,Gabriel Müller,Sales,Sales Manager,July,7806,8.5
36,Gabriel Müller,Sales,Sales Manager,August,6355,8.5
36,Gabriel Müller,Sales,Sales Manager,September,6683,7.8
36,Gabriel Müller,Sales,Sales Manager,October,5955,7.3
36,Gabriel Müller,Sales,Sales Manager,November,7275,8.5
36,Gabriel Müller,Sales,Sales Manager,December,6784,9.2
37,Noah Meier,Sales,Sales Executive,January,4912,8.9
37,Noah Meier,Sales,Sales Executive,February,4721,8.3
37,Noah Meier,Sales,Sales Executive,March,5952,8.7
37,Noah Meier,Sales,Sales Executive,April,5117,9.1
37,Noah Meier,Sales,Sales Executive,May,4626,9.3
37,Noah Meier,Sales,Sales Executive,June,5323,9.6
37,Noah Meier,Sales,Sales Executive,July,4672,9.6
37,Noah Meier,Sales,Sales Executive,August,5297,8.6
37,Noah Meier,Sales,Sales Executive,September,4777,9.0
37,Noah Meier,Sales,Sales Executive,October,5352,8.0
37,Noah Meier,Sales,Sales Executive,November,5363,9.4
37,Noah Meier,Sales,Sales Executive,December,4972,8.0
38,Lena Kuhn,Sales,Sales Representative,January,5298,7.5
38,Lena Kuhn,Sales,Sales Representative,February,4806,8.3
38,Lena Kuhn,Sales,Sales Representative,March,3661,8.9
38,Lena Kuhn,Sales,Sales Representative,April,5307,8.9
38,Lena Kuhn,Sales,Sales Representative,May,4256,8.4
38,Lena Kuhn,Sales,Sales Representative,June,4461,8.8
38,Lena Kuhn,Sales,Sales Representative,July,4554,7.2
38,Lena Kuhn,Sales,Sales Representative,August,4182,8.4
